743,748672
702708,379521
702708,748710
1092,739344
702708,748794
702708,69258
702708,721106
702708,731963
702708,748930
743,703063
1327,748688
1327,748689
1327,748690
1327,748691
1327,703322
1327,748691
1327,748692
1327,313524
702708,748789
702708,748790
702708,748784
702708,748785
702708,707144
702708,748786
702708,748787
702708,748788
702708,89668
702708,708429
702708,748787
702708,708429
702708,748791
702708,748791
702708,65171
702708,707144
702708,718840
702708,150395
702708,748792
702708,748793
702708,748785
702708,748795
702708,706945
702731,748822
702731,725930
702731,160324
702731,748823
702731,160324
702731,748824
702731,748825
702731,711614
702731,748826
702731,160324
702731,748827
702731,748828
702708,748836
702708,748837
702708,748838
702708,748839
702708,748840
702708,748841
702708,748845
702708,748847
702708,748840
702708,748847
702708,748921
702708,748929
702708,748922
702708,203836
702708,704857
702708,748923
702708,729872
702708,748924
702708,310538
702708,748925
702708,748926
702708,748927
702708,716709
702708,709219
702708,265125
702708,547606
702708,707618
702708,748928
702708,154499
702708,132889
702708,154499
702708,119360
702708,542201
702708,707012
702708,726557
702708,748931
702708,84761
702708,726548
702708,748932
702708,117757
702708,281045
702708,748930
702708,748933
1092,748981
1092,748982
1092,282722
1092,748983
1092,721397
1092,748984
1092,748985
1092,748985
1092,706069
1092,748986
1092,748987
1092,748988
1092,748989
1092,748990
1092,748991
1092,748992
1092,709263
1092,713978
1092,748994
1092,277483
1092,748995
1092,748996
1092,748997
1092,748998
1092,748999
1092,749000
1092,749001
1092,749002
1092,749003
1092,749004
1092,543277
1092,749005
1092,723628
1092,749006
1092,79935
702770,588459
702708,788704
702708,788705
702708,800025
783,793759
783,804625
783,804626
783,804627
783,804628
783,804629
783,804631
743,936683
1327,936762
1327,936762
1327,936763
702708,936891
702708,869116
702708,832104
702708,896315
702708,936893
702708,851280
702708,830597
702708,936897
702708,936898
702708,936898
702708,842239
702708,936899
702708,936901
702708,936891
702708,936905
702708,936898
702708,937067
702731,833915
702731,936939
702731,830839
702708,936952
702708,936953
702708,936952
702708,838483
702708,937068
702708,937069
702708,853011
702708,844472
702708,937066
702708,937066
702708,917380
702708,860683
702708,904157
1092,937255
1092,937262
1092,937261
702708,936784
743,824273
743,936684
702708,936785
1327,918270
1327,936760
1327,936761
1327,825084
1327,936764
702708,936901
702708,830597
702708,936890
702708,936892
702708,936893
702708,936894
702708,936895
702708,936896
702708,805754
702708,831615
702708,832104
702708,874580
702708,936902
702708,936903
702708,936904
702708,853788
702731,936936
702731,862667
702731,830839
702731,936937
702731,936938
702731,936940
702731,936941
702708,936948
702708,936949
702708,936950
702708,936951
702708,826099
702708,936959
702708,813376
702708,937070
702708,937071
702708,842884
702708,937072
702708,937073
702708,937074
702708,937075
702708,842331
702708,840594
702708,829930
702708,822460
702708,937077
702708,854895
702708,831868
702708,937078
702708,937079
702708,854895
702708,829223
702708,937080
702708,937081
702708,937082
702708,831934
702708,853524
702708,893197
702708,937083
702708,835390
702708,893111
702708,937084
702708,823820
702708,814521
702708,937082
702708,937085
1092,937253
1092,937254
1092,937258
1092,937259
1092,882010
1092,937260
1092,937261
1092,820378
1092,937264
1092,937265
1092,937266
1092,854083
1092,852025
1092,870314
1092,937268
1092,830541
1092,847687
1092,937270
1092,937271
1092,829408
1092,937272
1092,937273
1092,937274
1092,871124
1092,937275
1092,937276
1092,937277
1092,937278
1092,937279
1092,937280
1092,851018
1092,937281
1092,937282
1092,937283
1092,830385
